slot,ix_name,ix_args,errors
25,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 500000000000000, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
27,add_liquidity,"{'n_shares': 6509061905985721278, 'market_index': 0}",
29,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 22562888020229684, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
31,add_liquidity,"{'n_shares': 3729459817593695558, 'market_index': 0}",
32,add_liquidity,"{'n_shares': 3914645973340050515, 'market_index': 0}",
34,add_liquidity,"{'n_shares': 8484026496071295839, 'market_index': 0}",
36,add_liquidity,"{'n_shares': 2363253502432815655, 'market_index': 0}",
37,remove_liquidity,"{'shares_to_burn': 3729459817593600000, 'market_index': 0}",
40,add_liquidity,"{'n_shares': 3206740364894305091, 'market_index': 0}",
42,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 11233157023783448, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
43,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 11184180247616870, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
45,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 16932858092408592, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
47,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 4578063913035606, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
49,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 3959300980339533, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
50,remove_liquidity,"{'shares_to_burn': 2363253502432800000, 'market_index': 0}",
53,remove_liquidity,"{'shares_to_burn': 6509061905985700000, 'market_index': 0}",
55,remove_liquidity,"{'shares_to_burn': 3206740364894300000, 'market_index': 0}",
56,remove_liquidity,"{'shares_to_burn': 3914645973340000000, 'market_index': 0}",
59,add_liquidity,"{'n_shares': 7574724247537018015, 'market_index': 0}",
61,remove_liquidity,"{'shares_to_burn': 8484026496071200000, 'market_index': 0}",
63,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 14914233260237258, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
64,add_liquidity,"{'n_shares': 1525877937429526970, 'market_index': 0}",
66,add_liquidity,"{'n_shares': 818455350963391602, 'market_index': 0}",
68,remove_liquidity,"{'shares_to_burn': 7574724247537000000, 'market_index': 0}",
69,add_liquidity,"{'n_shares': 634557681325065302, 'market_index': 0}",
72,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 930098880979441, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
74,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 13918602092323250, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': 0, 'trigger_condition': {'Above': Container()}, 'oracle_price_offset': 0, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
76,remove_liquidity,"{'shares_to_burn': 1525877937429500000, 'market_index': 0}",
77,remove_liquidity,"{'shares_to_burn': 634557681325000000, 'market_index': 0}",
79,remove_liquidity,"{'shares_to_burn': 818455350963300000, 'market_index': 0}",
